filename	id	input	canonical	desired_ipa	kokoro_phonemes	token_ids	voice	speed	warnings
sanjaya_af_heart_s0.80.wav	sanjaya	सञ्जय	saYjaya	saɲɟaja	saɲɟaja	61 43 114 90 43 52 43	af_heart	0.8	
sanjaya_hf_alpha_s0.80.wav	sanjaya	सञ्जय	saYjaya	saɲɟaja	saɲɟaja	61 43 114 90 43 52 43	hf_alpha	0.8	
sanjaya_hf_beta_s0.80.wav	sanjaya	सञ्जय	saYjaya	saɲɟaja	saɲɟaja	61 43 114 90 43 52 43	hf_beta	0.8	
sanjaya_hm_omega_s0.80.wav	sanjaya	सञ्जय	saYjaya	saɲɟaja	saɲɟaja	61 43 114 90 43 52 43	hm_omega	0.8	
sanjaya_hm_psi_s0.80.wav	sanjaya	सञ्जय	saYjaya	saɲɟaja	saɲɟaja	61 43 114 90 43 52 43	hm_psi	0.8	
sanjayaa_af_heart_s0.80.wav	sanjayaa	सञ्जया	saYjayA	saɲɟajaː	saɲɟajaː	61 43 114 90 43 52 43 158	af_heart	0.8	
sanjayaa_hf_alpha_s0.80.wav	sanjayaa	सञ्जया	saYjayA	saɲɟajaː	saɲɟajaː	61 43 114 90 43 52 43 158	hf_alpha	0.8	
sanjayaa_hf_beta_s0.80.wav	sanjayaa	सञ्जया	saYjayA	saɲɟajaː	saɲɟajaː	61 43 114 90 43 52 43 158	hf_beta	0.8	
sanjayaa_hm_omega_s0.80.wav	sanjayaa	सञ्जया	saYjayA	saɲɟajaː	saɲɟajaː	61 43 114 90 43 52 43 158	hm_omega	0.8	
sanjayaa_hm_psi_s0.80.wav	sanjayaa	सञ्जया	saYjayA	saɲɟajaː	saɲɟajaː	61 43 114 90 43 52 43 158	hm_psi	0.8	
karmani_af_heart_s0.80.wav	karmani	कर्मणि	karmaRi	kaɾmaɳi	kaɾmaɳi	53 43 125 55 43 113 51	af_heart	0.8	
karmani_hf_alpha_s0.80.wav	karmani	कर्मणि	karmaRi	kaɾmaɳi	kaɾmaɳi	53 43 125 55 43 113 51	hf_alpha	0.8	
karmani_hf_beta_s0.80.wav	karmani	कर्मणि	karmaRi	kaɾmaɳi	kaɾmaɳi	53 43 125 55 43 113 51	hf_beta	0.8	
karmani_hm_omega_s0.80.wav	karmani	कर्मणि	karmaRi	kaɾmaɳi	kaɾmaɳi	53 43 125 55 43 113 51	hm_omega	0.8	
karmani_hm_psi_s0.80.wav	karmani	कर्मणि	karmaRi	kaɾmaɳi	kaɾmaɳi	53 43 125 55 43 113 51	hm_psi	0.8	
karmanii_af_heart_s0.80.wav	karmanii	कर्मणी	karmaRI	kaɾmaɳiː	kaɾmaɳiː	53 43 125 55 43 113 51 158	af_heart	0.8	
karmanii_hf_alpha_s0.80.wav	karmanii	कर्मणी	karmaRI	kaɾmaɳiː	kaɾmaɳiː	53 43 125 55 43 113 51 158	hf_alpha	0.8	
karmanii_hf_beta_s0.80.wav	karmanii	कर्मणी	karmaRI	kaɾmaɳiː	kaɾmaɳiː	53 43 125 55 43 113 51 158	hf_beta	0.8	
karmanii_hm_omega_s0.80.wav	karmanii	कर्मणी	karmaRI	kaɾmaɳiː	kaɾmaɳiː	53 43 125 55 43 113 51 158	hm_omega	0.8	
