input	voice	canonical	tokens	audio_path	final_vowel_detected	visarga_syllabic	short_i_lengthened	nasal_collapsed	notes
अहम्	hf_alpha	aham	43 50 43 55	diagnostics/closure-voices/aham_hf_alpha_s0.80.wav	yes	n/a	yes	yes	nasal ratio 1.04 collapsed
तत्	hf_alpha	tat	62 43 62	diagnostics/closure-voices/tat_hf_alpha_s0.80.wav	no	n/a	yes	yes	stop ratio 3.27 closure clearly preserved
कर्मणि	hf_alpha	karmaRi	53 43 125 55 43 113 51	diagnostics/closure-voices/karmani_hf_alpha_s0.80.wav	yes	n/a	yes	yes	short-i ratio 1.02
सञ्जय	hf_alpha	saYjaya	61 43 114 90 43 52 43	diagnostics/closure-voices/sanjaya_hf_alpha_s0.80.wav	yes	n/a	yes	yes	short-a ratio 1.05
युयुत्सवः	hf_alpha	yuyutsavaH	52 63 52 63 62 61 43 136 43 50	diagnostics/closure-voices/yuyutsavah_hf_alpha_s0.80.wav	no	yes, unfricated (ZCR 0.086)	yes	yes	-
मामकाः	hf_alpha	mAmakAH	55 43 158 55 43 53 43 158 50	diagnostics/closure-voices/mamakah_hf_alpha_s0.80.wav	no	yes, unfricated (ZCR 0.040)	yes	yes	-
अहम्	hf_beta	aham	43 50 43 55	diagnostics/closure-voices/aham_hf_beta_s0.80.wav	yes	n/a	yes	yes	nasal ratio 1.10 collapsed
तत्	hf_beta	tat	62 43 62	diagnostics/closure-voices/tat_hf_beta_s0.80.wav	no	n/a	yes	yes	stop ratio 0.72 inconclusive (closed form not shorter)
कर्मणि	hf_beta	karmaRi	53 43 125 55 43 113 51	diagnostics/closure-voices/karmani_hf_beta_s0.80.wav	yes	n/a	yes	yes	short-i ratio 1.12
सञ्जय	hf_beta	saYjaya	61 43 114 90 43 52 43	diagnostics/closure-voices/sanjaya_hf_beta_s0.80.wav	yes	n/a	yes	yes	short-a ratio 1.08
युयुत्सवः	hf_beta	yuyutsavaH	52 63 52 63 62 61 43 136 43 50	diagnostics/closure-voices/yuyutsavah_hf_beta_s0.80.wav	no	yes, unfricated (ZCR 0.054)	yes	yes	-
मामकाः	hf_beta	mAmakAH	55 43 158 55 43 53 43 158 50	diagnostics/closure-voices/mamakah_hf_beta_s0.80.wav	no	yes, unfricated (ZCR 0.046)	yes	yes	-
अहम्	hm_omega	aham	43 50 43 55	diagnostics/closure-voices/aham_hm_omega_s0.80.wav	yes	n/a	yes	yes	nasal ratio 1.15 collapsed
तत्	hm_omega	tat	62 43 62	diagnostics/closure-voices/tat_hm_omega_s0.80.wav	no	n/a	yes	yes	stop ratio 1.33 inconclusive (closed form not shorter)
कर्मणि	hm_omega	karmaRi	53 43 125 55 43 113 51	diagnostics/closure-voices/karmani_hm_omega_s0.80.wav	yes	n/a	yes	yes	short-i ratio 1.08
सञ्जय	hm_omega	saYjaya	61 43 114 90 43 52 43	diagnostics/closure-voices/sanjaya_hm_omega_s0.80.wav	yes	n/a	yes	yes	short-a ratio 1.01
युयुत्सवः	hm_omega	yuyutsavaH	52 63 52 63 62 61 43 136 43 50	diagnostics/closure-voices/yuyutsavah_hm_omega_s0.80.wav	no	yes, unfricated (ZCR 0.021)	yes	yes	-
मामकाः	hm_omega	mAmakAH	55 43 158 55 43 53 43 158 50	diagnostics/closure-voices/mamakah_hm_omega_s0.80.wav	no	yes, unfricated (ZCR 0.022)	yes	yes	-
अहम्	hm_psi	aham	43 50 43 55	diagnostics/closure-voices/aham_hm_psi_s0.80.wav	yes	n/a	yes	yes	nasal ratio 1.14 collapsed
तत्	hm_psi	tat	62 43 62	diagnostics/closure-voices/tat_hm_psi_s0.80.wav	no	n/a	yes	yes	stop ratio 0.74 inconclusive (closed form not shorter)
कर्मणि	hm_psi	karmaRi	53 43 125 55 43 113 51	diagnostics/closure-voices/karmani_hm_psi_s0.80.wav	yes	n/a	yes	yes	short-i ratio 1.14
सञ्जय	hm_psi	saYjaya	61 43 114 90 43 52 43	diagnostics/closure-voices/sanjaya_hm_psi_s0.80.wav	no	n/a	yes	yes	short-a ratio 1.34
युयुत्सवः	hm_psi	yuyutsavaH	52 63 52 63 62 61 43 136 43 50	diagnostics/closure-voices/yuyutsavah_hm_psi_s0.80.wav	no	yes, unfricated (ZCR 0.048)	yes	yes	-
मामकाः	hm_psi	mAmakAH	55 43 158 55 43 53 43 158 50	diagnostics/closure-voices/mamakah_hm_psi_s0.80.wav	no	yes, unfricated (ZCR 0.068)	yes	yes	-
अहम्	af_heart	aham	43 50 43 55	diagnostics/closure-voices/aham_af_heart_s0.80.wav	yes	n/a	yes	yes	nasal ratio 1.06 collapsed
तत्	af_heart	tat	62 43 62	diagnostics/closure-voices/tat_af_heart_s0.80.wav	no	n/a	yes	yes	stop ratio 0.62 inconclusive (closed form not shorter)
कर्मणि	af_heart	karmaRi	53 43 125 55 43 113 51	diagnostics/closure-voices/karmani_af_heart_s0.80.wav	yes	n/a	yes	yes	short-i ratio 1.19
सञ्जय	af_heart	saYjaya	61 43 114 90 43 52 43	diagnostics/closure-voices/sanjaya_af_heart_s0.80.wav	yes	n/a	yes	yes	short-a ratio 1.01
युयुत्सवः	af_heart	yuyutsavaH	52 63 52 63 62 61 43 136 43 50	diagnostics/closure-voices/yuyutsavah_af_heart_s0.80.wav	no	yes, unfricated (ZCR 0.040)	yes	yes	-
मामकाः	af_heart	mAmakAH	55 43 158 55 43 53 43 158 50	diagnostics/closure-voices/mamakah_af_heart_s0.80.wav	no	yes, unfricated (ZCR 0.070)	yes	yes	-
