input	voice	speed	canonical	kokoro_phonemes	token_ids	audio_path	visarga_quality	vowel_length	vocalic_r	palatal_nasal	aspiration	cluster_clarity	consistency	failure_category
युयुत्सवः	af_heart	0.8	yuyutsavaH	jujutsaʋah	52 63 52 63 62 61 43 136 43 50	diagnostics/voices-final/yuyutsavah_af_heart_s0.80.wav	unfricated ZCR 0.048	n/a	n/a	n/a	n/a	8/4 nuclei	OK	ACOUSTIC_MODEL_LIMITATION:VISARGA
युयुत्सवः	hf_alpha	0.8	yuyutsavaH	jujutsaʋah	52 63 52 63 62 61 43 136 43 50	diagnostics/voices-final/yuyutsavah_hf_alpha_s0.80.wav	unfricated ZCR 0.088	n/a	n/a	n/a	n/a	5/4 nuclei	OK	ACOUSTIC_MODEL_LIMITATION:VISARGA
युयुत्सवः	hf_beta	0.8	yuyutsavaH	jujutsaʋah	52 63 52 63 62 61 43 136 43 50	diagnostics/voices-final/yuyutsavah_hf_beta_s0.80.wav	unfricated ZCR 0.054	n/a	n/a	n/a	n/a	3/4 nuclei	marginal	ACOUSTIC_MODEL_LIMITATION:VISARGA
युयुत्सवः	hm_omega	0.8	yuyutsavaH	jujutsaʋah	52 63 52 63 62 61 43 136 43 50	diagnostics/voices-final/yuyutsavah_hm_omega_s0.80.wav	unfricated ZCR 0.021	n/a	n/a	n/a	n/a	4/4 nuclei	OK	ACOUSTIC_MODEL_LIMITATION:VISARGA
युयुत्सवः	hm_psi	0.8	yuyutsavaH	jujutsaʋah	52 63 52 63 62 61 43 136 43 50	diagnostics/voices-final/yuyutsavah_hm_psi_s0.80.wav	unfricated ZCR 0.049	n/a	n/a	n/a	n/a	3/4 nuclei	marginal	ACOUSTIC_MODEL_LIMITATION:VISARGA
मामकाः	af_heart	0.8	mAmakAH	maːmakaːh	55 43 158 55 43 53 43 158 50	diagnostics/voices-final/mamakah_af_heart_s0.80.wav	unfricated ZCR 0.073	long vowel present in tokens	n/a	n/a	n/a	1/4 nuclei	poor	ACOUSTIC_MODEL_LIMITATION:VISARGA;ACOUSTIC_MODEL_LIMITATION:CLUSTER
मामकाः	hf_alpha	0.8	mAmakAH	maːmakaːh	55 43 158 55 43 53 43 158 50	diagnostics/voices-final/mamakah_hf_alpha_s0.80.wav	unfricated ZCR 0.053	long vowel present in tokens	n/a	n/a	n/a	4/4 nuclei	OK	ACOUSTIC_MODEL_LIMITATION:VISARGA
मामकाः	hf_beta	0.8	mAmakAH	maːmakaːh	55 43 158 55 43 53 43 158 50	diagnostics/voices-final/mamakah_hf_beta_s0.80.wav	unfricated ZCR 0.067	long vowel present in tokens	n/a	n/a	n/a	4/4 nuclei	OK	ACOUSTIC_MODEL_LIMITATION:VISARGA
मामकाः	hm_omega	0.8	mAmakAH	maːmakaːh	55 43 158 55 43 53 43 158 50	diagnostics/voices-final/mamakah_hm_omega_s0.80.wav	unfricated ZCR 0.022	long vowel present in tokens	n/a	n/a	n/a	2/4 nuclei	poor	ACOUSTIC_MODEL_LIMITATION:VISARGA;ACOUSTIC_MODEL_LIMITATION:CLUSTER
मामकाः	hm_psi	0.8	mAmakAH	maːmakaːh	55 43 158 55 43 53 43 158 50	diagnostics/voices-final/mamakah_hm_psi_s0.80.wav	unfricated ZCR 0.077	long vowel present in tokens	n/a	n/a	n/a	2/4 nuclei	poor	ACOUSTIC_MODEL_LIMITATION:VISARGA;ACOUSTIC_MODEL_LIMITATION:CLUSTER
सञ्जय	af_heart	0.8	saYjaya	saɲɟaja	61 43 114 90 43 52 43	diagnostics/voices-final/sanjaya_af_heart_s0.80.wav	n/a	n/a	n/a	ɲ in tokens	n/a	4/3 nuclei	OK	NONE
