filename	id	input	canonical	desired_ipa	kokoro_phonemes	token_ids	voice	speed	warnings
bg11a_hf_alpha_s0.72.wav	bg11a	dʰaɾmakʂeːtɾeː kuɾukʂeːtɾeː samaʋeːtaː jujutsaʋah,	(raw phonemes)	dʰaɾmakʂeːtɾeː kuɾukʂeːtɾeː samaʋeːtaː jujutsaʋah,	dʰaɾmakʂeːtɾeː kuɾukʂeːtɾeː samaʋeːtaː jujutsaʋah,	46 162 43 125 55 43 53 130 47 158 62 125 47 158 16 53 63 125 63 53 130 47 158 62 125 47 158 16 61 43 55 43 136 47 158 62 43 158 16 52 63 52 63 62 61 43 136 43 50 3	hf_alpha	0.72	
bg11a_hf_alpha_s0.78.wav	bg11a	dʰaɾmakʂeːtɾeː kuɾukʂeːtɾeː samaʋeːtaː jujutsaʋah,	(raw phonemes)	dʰaɾmakʂeːtɾeː kuɾukʂeːtɾeː samaʋeːtaː jujutsaʋah,	dʰaɾmakʂeːtɾeː kuɾukʂeːtɾeː samaʋeːtaː jujutsaʋah,	46 162 43 125 55 43 53 130 47 158 62 125 47 158 16 53 63 125 63 53 130 47 158 62 125 47 158 16 61 43 55 43 136 47 158 62 43 158 16 52 63 52 63 62 61 43 136 43 50 3	hf_alpha	0.78	
bg11a_hf_alpha_s0.84.wav	bg11a	dʰaɾmakʂeːtɾeː kuɾukʂeːtɾeː samaʋeːtaː jujutsaʋah,	(raw phonemes)	dʰaɾmakʂeːtɾeː kuɾukʂeːtɾeː samaʋeːtaː jujutsaʋah,	dʰaɾmakʂeːtɾeː kuɾukʂeːtɾeː samaʋeːtaː jujutsaʋah,	46 162 43 125 55 43 53 130 47 158 62 125 47 158 16 53 63 125 63 53 130 47 158 62 125 47 158 16 61 43 55 43 136 47 158 62 43 158 16 52 63 52 63 62 61 43 136 43 50 3	hf_alpha	0.84	
bg11a_hf_alpha_s0.90.wav	bg11a	dʰaɾmakʂeːtɾeː kuɾukʂeːtɾeː samaʋeːtaː jujutsaʋah,	(raw phonemes)	dʰaɾmakʂeːtɾeː kuɾukʂeːtɾeː samaʋeːtaː jujutsaʋah,	dʰaɾmakʂeːtɾeː kuɾukʂeːtɾeː samaʋeːtaː jujutsaʋah,	46 162 43 125 55 43 53 130 47 158 62 125 47 158 16 53 63 125 63 53 130 47 158 62 125 47 158 16 61 43 55 43 136 47 158 62 43 158 16 52 63 52 63 62 61 43 136 43 50 3	hf_alpha	0.9	
bg11a_hf_alpha.wav	bg11a	dʰaɾmakʂeːtɾeː kuɾukʂeːtɾeː samaʋeːtaː jujutsaʋah,	(raw phonemes)	dʰaɾmakʂeːtɾeː kuɾukʂeːtɾeː samaʋeːtaː jujutsaʋah,	dʰaɾmakʂeːtɾeː kuɾukʂeːtɾeː samaʋeːtaː jujutsaʋah,	46 162 43 125 55 43 53 130 47 158 62 125 47 158 16 53 63 125 63 53 130 47 158 62 125 47 158 16 61 43 55 43 136 47 158 62 43 158 16 52 63 52 63 62 61 43 136 43 50 3	hf_alpha	1.0	
bg11b_hf_alpha_s0.72.wav	bg11b	maːmakaːh paːɳɖaʋaːʃcaɪʋa kimakuɾʋata saɲɟaja.	(raw phonemes)	maːmakaːh paːɳɖaʋaːʃcaɪʋa kimakuɾʋata saɲɟaja.	maːmakaːh paːɳɖaʋaːʃcaɪʋa kimakuɾʋata saɲɟaja.	55 43 158 55 43 53 43 158 50 16 58 43 158 113 80 43 136 43 158 131 45 43 102 136 43 16 53 51 55 43 53 63 125 136 43 62 43 16 61 43 114 90 43 52 43 4	hf_alpha	0.72	
bg11b_hf_alpha_s0.78.wav	bg11b	maːmakaːh paːɳɖaʋaːʃcaɪʋa kimakuɾʋata saɲɟaja.	(raw phonemes)	maːmakaːh paːɳɖaʋaːʃcaɪʋa kimakuɾʋata saɲɟaja.	maːmakaːh paːɳɖaʋaːʃcaɪʋa kimakuɾʋata saɲɟaja.	55 43 158 55 43 53 43 158 50 16 58 43 158 113 80 43 136 43 158 131 45 43 102 136 43 16 53 51 55 43 53 63 125 136 43 62 43 16 61 43 114 90 43 52 43 4	hf_alpha	0.78	
bg11b_hf_alpha_s0.84.wav	bg11b	maːmakaːh paːɳɖaʋaːʃcaɪʋa kimakuɾʋata saɲɟaja.	(raw phonemes)	maːmakaːh paːɳɖaʋaːʃcaɪʋa kimakuɾʋata saɲɟaja.	maːmakaːh paːɳɖaʋaːʃcaɪʋa kimakuɾʋata saɲɟaja.	55 43 158 55 43 53 43 158 50 16 58 43 158 113 80 43 136 43 158 131 45 43 102 136 43 16 53 51 55 43 53 63 125 136 43 62 43 16 61 43 114 90 43 52 43 4	hf_alpha	0.84	
bg11b_hf_alpha_s0.90.wav	bg11b	maːmakaːh paːɳɖaʋaːʃcaɪʋa kimakuɾʋata saɲɟaja.	(raw phonemes)	maːmakaːh paːɳɖaʋaːʃcaɪʋa kimakuɾʋata saɲɟaja.	maːmakaːh paːɳɖaʋaːʃcaɪʋa kimakuɾʋata saɲɟaja.	55 43 158 55 43 53 43 158 50 16 58 43 158 113 80 43 136 43 158 131 45 43 102 136 43 16 53 51 55 43 53 63 125 136 43 62 43 16 61 43 114 90 43 52 43 4	hf_alpha	0.9	
bg11b_hf_alpha.wav	bg11b	maːmakaːh paːɳɖaʋaːʃcaɪʋa kimakuɾʋata saɲɟaja.	(raw phonemes)	maːmakaːh paːɳɖaʋaːʃcaɪʋa kimakuɾʋata saɲɟaja.	maːmakaːh paːɳɖaʋaːʃcaɪʋa kimakuɾʋata saɲɟaja.	55 43 158 55 43 53 43 158 50 16 58 43 158 113 80 43 136 43 158 131 45 43 102 136 43 16 53 51 55 43 53 63 125 136 43 62 43 16 61 43 114 90 43 52 43 4	hf_alpha	1.0	
