क्षेत्रे	क्षेत्रे	kzetre	kzetre	kʂeːtɾeː	k ʂ e ː t ɾ e ː	53 130 47 158 62 125 47 158	k ʂ e ː t ɾ e ː	OK						
कुरुक्षेत्रे	कुरुक्षेत्रे	kurukzetre	kurukzetre	kuɾukʂeːtɾeː	k u ɾ u k ʂ e ː t ɾ e ː	53 63 125 63 53 130 47 158 62 125 47 158	k u ɾ u k ʂ e ː t ɾ e ː	OK						
समवेता	समवेता	samavetA	samavetA	samaʋeːtaː	s a m a ʋ e ː t a ː	61 43 55 43 136 47 158 62 43 158	s a m a ʋ e ː t a ː	OK						
अधिकारस्ते	अधिकारस्ते	aDikAraste	aDikAraste	adʰikaːɾasteː	a d ʰ i k a ː ɾ a s t e ː	43 46 162 51 53 43 158 125 43 61 62 47 158	a d ʰ i k a ː ɾ a s t e ː	OK						
फलेषु	फलेषु	Palezu	Palezu	pʰaleːʂu	p ʰ a l e ː ʂ u	58 162 43 54 47 158 130 63	p ʰ a l e ː ʂ u	OK						
युयुत्सवः	युयुत्सवः	yuyutsavaH	yuyutsavaha	jujutsaʋaha	j u j u t s a ʋ a h a	52 63 52 63 62 61 43 136 43 50 43	j u j u t s a ʋ a h a	OK						
मामकाः	मामकाः	mAmakAH	mAmakAha	maːmakaːha	m a ː m a k a ː h a	55 43 158 55 43 53 43 158 50 43	m a ː m a k a ː h a	OK						
पाण्डवाश्चैव	पाण्डवाश्चैव	pARqavAScEva	pARqavAScEva	paːɳɖaʋaːʃcaɪʋa	p a ː ɳ ɖ a ʋ a ː ʃ c a ɪ ʋ a	58 43 158 113 80 43 136 43 158 131 45 43 102 136 43	p a ː ɳ ɖ a ʋ a ː ʃ c a ɪ ʋ a	OK						
सञ्जय	सञ्जय	saYjaya	saYjaya	saɲɟaja	s a ɲ ɟ a j a	61 43 114 90 43 52 43	s a ɲ ɟ a j a	OK						
कर्मण्येवाधिकारस्ते	कर्मण्येवाधिकारस्ते	karmaRyevADikAraste	karmaRyevADikAraste	kaɾmaɳjeːʋaːdʰikaːɾasteː	k a ɾ m a ɳ j e ː ʋ a ː d ʰ i k a ː ɾ a s t e ː	53 43 125 55 43 113 52 47 158 136 43 158 46 162 51 53 43 158 125 43 61 62 47 158	k a ɾ m a ɳ j e ː ʋ a ː d ʰ i k a ː ɾ a s t e ː	OK						
कर्मफलहेतुर्भूर्मा	कर्मफलहेतुर्भूर्मा	karmaPalaheturBUrmA	karmaPalaheturBUrmA	kaɾmapʰalaheːtuɾbʰuːɾmaː	k a ɾ m a p ʰ a l a h e ː t u ɾ b ʰ u ː ɾ m a ː	53 43 125 55 43 58 162 43 54 43 50 47 158 62 63 125 44 162 63 158 125 55 43 158	k a ɾ m a p ʰ a l a h e ː t u ɾ b ʰ u ː ɾ m a ː	OK						
सङ्गोऽस्त्वकर्मणि	सङ्गोऽस्त्वकर्मणि	saNgo'stvakarmaRi	saNgo'stvakarmaRi	saŋɡoːstʋakaɾmaɳi	s a ŋ ɡ o ː s t ʋ a k a ɾ m a ɳ i	61 43 112 92 57 158 61 62 136 43 53 43 125 55 43 113 51	s a ŋ ɡ o ː s t ʋ a k a ɾ m a ɳ i	OK					elision	
ग्लानिर्भवति	ग्लानिर्भवति	glAnirBavati	glAnirBavati	ɡlaːniɾbʰaʋati	ɡ l a ː n i ɾ b ʰ a ʋ a t i	92 54 43 158 56 51 125 44 162 43 136 43 62 51	ɡ l a ː n i ɾ b ʰ a ʋ a t i	OK						
अभ्युत्थानमधर्मस्य	अभ्युत्थानमधर्मस्य	aByutTAnamaDarmasya	aByutTAnamaDarmasya	abʰjuttʰaːnamadʰaɾmasja	a b ʰ j u t t ʰ a ː n a m a d ʰ a ɾ m a s j a	43 44 162 52 63 62 62 162 43 158 56 43 55 43 46 162 43 125 55 43 61 52 43	a b ʰ j u t t ʰ a ː n a m a d ʰ a ɾ m a s j a	OK						
तदात्मानं	तदात्मानं	tadAtmAnaM	tadAtmAnam	tadaːtmaːnam	t a d a ː t m a ː n a m	62 43 46 43 158 62 55 43 158 56 43 55	t a d a ː t m a ː n a m	OK						
सृजाम्यहम्	सृजाम्यहम्	sfjAmyaham	sfjAmyaham	sɾɪɟaːmjaham	s ɾ ɪ ɟ a ː m j a h a m	61 125 102 90 43 158 55 52 43 50 43 55	s ɾ ɪ ɟ a ː m j a h a m	OK						KOKORO_APPROXIMATION: vocalic ṛ (ऋ) → ɾɪ (no syllabic diacritic in the Kokoro vocabulary)
कृष्ण	कृष्ण	kfzRa	kfzRa	kɾɪʂɳa	k ɾ ɪ ʂ ɳ a	53 125 102 130 113 43	k ɾ ɪ ʂ ɳ a	OK						KOKORO_APPROXIMATION: vocalic ṛ (ऋ) → ɾɪ (no syllabic diacritic in the Kokoro vocabulary)
हृषीकेश	हृषीकेश	hfzIkeSa	hfzIkeSa	hɾɪʂiːkeːʃa	h ɾ ɪ ʂ i ː k e ː ʃ a	50 125 102 130 51 158 53 47 158 131 43	h ɾ ɪ ʂ i ː k e ː ʃ a	OK						KOKORO_APPROXIMATION: vocalic ṛ (ऋ) → ɾɪ (no syllabic diacritic in the Kokoro vocabulary)
क्षेत्रज्ञ	क्षेत्रज्ञ	kzetrajYa	kzetrajYa	kʂeːtɾaɟɲa	k ʂ e ː t ɾ a ɟ ɲ a	53 130 47 158 62 125 43 90 114 43	k ʂ e ː t ɾ a ɟ ɲ a	OK						
ज्ञान	ज्ञान	jYAna	jYAna	ɟɲaːna	ɟ ɲ a ː n a	90 114 43 158 56 43	ɟ ɲ a ː n a	OK						
श्रद्धा	श्रद्धा	SradDA	SradDA	ʃɾaddʰaː	ʃ ɾ a d d ʰ a ː	131 125 43 46 46 162 43 158	ʃ ɾ a d d ʰ a ː	OK						
दुःख	दुःख	duHKa	duhKa	duhkʰa	d u h k ʰ a	46 63 50 53 162 43	d u h k ʰ a	OK						
