input	voice	speed	canonical	kokoro_phonemes	token_ids	audio_path	observed_issue	failure_category
युयुत्सवः	af_heart	1.0	yuyutsavaH	jujutsaʋah	52 63 52 63 62 61 43 136 43 50	diagnostics/voices/yuyutsavah_af_heart.wav	visarga unfricated (tail ZCR 0.066)	ACOUSTIC_MODEL_LIMITATION
युयुत्सवः	hf_alpha	1.0	yuyutsavaH	jujutsaʋah	52 63 52 63 62 61 43 136 43 50	diagnostics/voices/yuyutsavah_hf_alpha.wav	syllables merged (3/4 nuclei); visarga unfricated (tail ZCR 0.045)	ACOUSTIC_MODEL_LIMITATION
युयुत्सवः	hf_beta	1.0	yuyutsavaH	jujutsaʋah	52 63 52 63 62 61 43 136 43 50	diagnostics/voices/yuyutsavah_hf_beta.wav	visarga unfricated (tail ZCR 0.026)	ACOUSTIC_MODEL_LIMITATION
युयुत्सवः	hm_omega	1.0	yuyutsavaH	jujutsaʋah	52 63 52 63 62 61 43 136 43 50	diagnostics/voices/yuyutsavah_hm_omega.wav	syllables merged (3/4 nuclei); visarga unfricated (tail ZCR 0.027)	ACOUSTIC_MODEL_LIMITATION
युयुत्सवः	hm_psi	1.0	yuyutsavaH	jujutsaʋah	52 63 52 63 62 61 43 136 43 50	diagnostics/voices/yuyutsavah_hm_psi.wav	syllables merged (3/4 nuclei); visarga unfricated (tail ZCR 0.035)	ACOUSTIC_MODEL_LIMITATION
मामकाः	af_heart	1.0	mAmakAH	maːmakaːh	55 43 158 55 43 53 43 158 50	diagnostics/voices/mamakah_af_heart.wav	syllables merged (1/4 nuclei); visarga unfricated (tail ZCR 0.062)	ACOUSTIC_MODEL_LIMITATION
मामकाः	hf_alpha	1.0	mAmakAH	maːmakaːh	55 43 158 55 43 53 43 158 50	diagnostics/voices/mamakah_hf_alpha.wav	syllables merged (3/4 nuclei); visarga unfricated (tail ZCR 0.030)	ACOUSTIC_MODEL_LIMITATION
मामकाः	hf_beta	1.0	mAmakAH	maːmakaːh	55 43 158 55 43 53 43 158 50	diagnostics/voices/mamakah_hf_beta.wav	syllables merged (2/4 nuclei); visarga unfricated (tail ZCR 0.032)	ACOUSTIC_MODEL_LIMITATION
मामकाः	hm_omega	1.0	mAmakAH	maːmakaːh	55 43 158 55 43 53 43 158 50	diagnostics/voices/mamakah_hm_omega.wav	syllables merged (2/4 nuclei); visarga unfricated (tail ZCR 0.017)	ACOUSTIC_MODEL_LIMITATION
मामकाः	hm_psi	1.0	mAmakAH	maːmakaːh	55 43 158 55 43 53 43 158 50	diagnostics/voices/mamakah_hm_psi.wav	syllables merged (2/4 nuclei); visarga unfricated (tail ZCR 0.031)	ACOUSTIC_MODEL_LIMITATION
