filename	id	input	canonical	desired_ipa	kokoro_phonemes	token_ids	voice	speed	warnings
sanjaya_hf_alpha_s0.80.wav	sanjaya	सञ्जय	saYjaya	saɲɟaja	saɲɟaja	61 43 114 90 43 52 43	hf_alpha	0.8	
sanjayaa_hf_alpha_s0.80.wav	sanjayaa	सञ्जया	saYjayA	saɲɟajaː	saɲɟajaː	61 43 114 90 43 52 43 158	hf_alpha	0.8	
kadachana_hf_alpha_s0.80.wav	kadachana	कदाचन	kadAcana	kadaːcana	kadaːcana	53 43 46 43 158 45 43 56 43	hf_alpha	0.8	
kadachanaa_hf_alpha_s0.80.wav	kadachanaa	कदाचना	kadAcanA	kadaːcanaː	kadaːcanaː	53 43 46 43 158 45 43 56 43 158	hf_alpha	0.8	
karmani_hf_alpha_s0.80.wav	karmani	कर्मणि	karmaRi	kaɾmaɳi	kaɾmaɳi	53 43 125 55 43 113 51	hf_alpha	0.8	
karmanii_hf_alpha_s0.80.wav	karmanii	कर्मणी	karmaRI	kaɾmaɳiː	kaɾmaɳiː	53 43 125 55 43 113 51 158	hf_alpha	0.8	
bhavati_hf_alpha_s0.80.wav	bhavati	भवति	Bavati	bʰaʋati	bʰaʋati	44 162 43 136 43 62 51	hf_alpha	0.8	
bhavatii_hf_alpha_s0.80.wav	bhavatii	भवती	BavatI	bʰaʋatiː	bʰaʋatiː	44 162 43 136 43 62 51 158	hf_alpha	0.8	
aham_hf_alpha_s0.80.wav	aham	अहम्	aham	aham	aham	43 50 43 55	hf_alpha	0.8	
ahama_hf_alpha_s0.80.wav	ahama	अहम	ahama	ahama	ahama	43 50 43 55 43	hf_alpha	0.8	
bhagavan_hf_alpha_s0.80.wav	bhagavan	भगवान्	BagavAn	bʰaɡaʋaːn	bʰaɡaʋaːn	44 162 43 92 43 136 43 158 56	hf_alpha	0.8	
bhagavana_hf_alpha_s0.80.wav	bhagavana	भगवान	BagavAna	bʰaɡaʋaːna	bʰaɡaʋaːna	44 162 43 92 43 136 43 158 56 43	hf_alpha	0.8	
tat_hf_alpha_s0.80.wav	tat	तत्	tat	tat	tat	62 43 62	hf_alpha	0.8	
tata_hf_alpha_s0.80.wav	tata	तत	tata	tata	tata	62 43 62 43	hf_alpha	0.8	
krt_hf_alpha_s0.80.wav	krt	कृत्	kft	kɾɪt	kɾɪt	53 125 102 62	hf_alpha	0.8	KOKORO_APPROXIMATION: vocalic ṛ (ऋ) → ɾɪ (no syllabic diacritic in the Kokoro vocabulary)
krta_hf_alpha_s0.80.wav	krta	कृत	kfta	kɾɪta	kɾɪta	53 125 102 62 43	hf_alpha	0.8	KOKORO_APPROXIMATION: vocalic ṛ (ऋ) → ɾɪ (no syllabic diacritic in the Kokoro vocabulary)
