filename	id	input	canonical	desired_ipa	kokoro_phonemes	token_ids	voice	speed	warnings
vr_ka__current_ri_hf_alpha.wav	vr_ka__current_ri	kɾɪ	(raw phonemes)	kɾɪ	kɾɪ	53 125 102	hf_alpha	1.0	
vr_ka__south_ru_hf_alpha.wav	vr_ka__south_ru	kɾu	(raw phonemes)	kɾu	kɾu	53 125 63	hf_alpha	1.0	
vr_ka__retroflex_flap_hf_alpha.wav	vr_ka__retroflex_flap	kɽ	(raw phonemes)	kɽ	kɽ	53 129	hf_alpha	1.0	
vr_ka__retroflex_approx_hf_alpha.wav	vr_ka__retroflex_approx	kɻ	(raw phonemes)	kɻ	kɻ	53 126	hf_alpha	1.0	
vr_ka__bare_r_hf_alpha.wav	vr_ka__bare_r	kɾ	(raw phonemes)	kɾ	kɾ	53 125	hf_alpha	1.0	
vr_ga__current_ri_hf_alpha.wav	vr_ga__current_ri	ɡɾɪ	(raw phonemes)	ɡɾɪ	ɡɾɪ	92 125 102	hf_alpha	1.0	
vr_ga__south_ru_hf_alpha.wav	vr_ga__south_ru	ɡɾu	(raw phonemes)	ɡɾu	ɡɾu	92 125 63	hf_alpha	1.0	
vr_ga__retroflex_flap_hf_alpha.wav	vr_ga__retroflex_flap	ɡɽ	(raw phonemes)	ɡɽ	ɡɽ	92 129	hf_alpha	1.0	
vr_ga__retroflex_approx_hf_alpha.wav	vr_ga__retroflex_approx	ɡɻ	(raw phonemes)	ɡɻ	ɡɻ	92 126	hf_alpha	1.0	
vr_ga__bare_r_hf_alpha.wav	vr_ga__bare_r	ɡɾ	(raw phonemes)	ɡɾ	ɡɾ	92 125	hf_alpha	1.0	
vr_ta__current_ri_hf_alpha.wav	vr_ta__current_ri	tɾɪ	(raw phonemes)	tɾɪ	tɾɪ	62 125 102	hf_alpha	1.0	
vr_ta__south_ru_hf_alpha.wav	vr_ta__south_ru	tɾu	(raw phonemes)	tɾu	tɾu	62 125 63	hf_alpha	1.0	
vr_ta__retroflex_flap_hf_alpha.wav	vr_ta__retroflex_flap	tɽ	(raw phonemes)	tɽ	tɽ	62 129	hf_alpha	1.0	
vr_ta__retroflex_approx_hf_alpha.wav	vr_ta__retroflex_approx	tɻ	(raw phonemes)	tɻ	tɻ	62 126	hf_alpha	1.0	
vr_ta__bare_r_hf_alpha.wav	vr_ta__bare_r	tɾ	(raw phonemes)	tɾ	tɾ	62 125	hf_alpha	1.0	
vr_da__current_ri_hf_alpha.wav	vr_da__current_ri	dɾɪ	(raw phonemes)	dɾɪ	dɾɪ	46 125 102	hf_alpha	1.0	
vr_da__south_ru_hf_alpha.wav	vr_da__south_ru	dɾu	(raw phonemes)	dɾu	dɾu	46 125 63	hf_alpha	1.0	
vr_da__retroflex_flap_hf_alpha.wav	vr_da__retroflex_flap	dɽ	(raw phonemes)	dɽ	dɽ	46 129	hf_alpha	1.0	
vr_da__retroflex_approx_hf_alpha.wav	vr_da__retroflex_approx	dɻ	(raw phonemes)	dɻ	dɻ	46 126	hf_alpha	1.0	
vr_da__bare_r_hf_alpha.wav	vr_da__bare_r	dɾ	(raw phonemes)	dɾ	dɾ	46 125	hf_alpha	1.0	
vr_pa__current_ri_hf_alpha.wav	vr_pa__current_ri	pɾɪ	(raw phonemes)	pɾɪ	pɾɪ	58 125 102	hf_alpha	1.0	
vr_pa__south_ru_hf_alpha.wav	vr_pa__south_ru	pɾu	(raw phonemes)	pɾu	pɾu	58 125 63	hf_alpha	1.0	
vr_pa__retroflex_flap_hf_alpha.wav	vr_pa__retroflex_flap	pɽ	(raw phonemes)	pɽ	pɽ	58 129	hf_alpha	1.0	
vr_pa__retroflex_approx_hf_alpha.wav	vr_pa__retroflex_approx	pɻ	(raw phonemes)	pɻ	pɻ	58 126	hf_alpha	1.0	
vr_pa__bare_r_hf_alpha.wav	vr_pa__bare_r	pɾ	(raw phonemes)	pɾ	pɾ	58 125	hf_alpha	1.0	
vr_ma__current_ri_hf_alpha.wav	vr_ma__current_ri	mɾɪ	(raw phonemes)	mɾɪ	mɾɪ	55 125 102	hf_alpha	1.0	
vr_ma__south_ru_hf_alpha.wav	vr_ma__south_ru	mɾu	(raw phonemes)	mɾu	mɾu	55 125 63	hf_alpha	1.0	
vr_ma__retroflex_flap_hf_alpha.wav	vr_ma__retroflex_flap	mɽ	(raw phonemes)	mɽ	mɽ	55 129	hf_alpha	1.0	
